Large marble: Lucky, marbles: Russian Green, Mode Beige, Middle Red Purple, Big Dip O’ruby, Orange Soda, Thulian Pink, White Smoke
Large marble: Winner, marbles: Rose Quartz, Chinese Red, Fiery Rose, Rose Quartz, Blue, Purple, Middle Green Yellow
Large marble: Apollo, marbles: Royal Blue, Terra Cotta, Venetian Red, Silver Pink, Mode Beige, Rose Quartz, Lavender Purple
Large marble: Hercules, marbles: Sage, Emerald, Middle Green, Vegas Gold, Isabelline, Maximum Violet, Indigo
Large marble: Spinner, marbles: Platinum, Ruby, Lemon Lime, Blue, Vegas Gold, Middle Red Purple, Gold
Large marble: Apollo, marbles: Sheen Green, Indigo, Mint Cream, Pale Goldenrod, Orange Peel, Mulberry, Mimi Pink
Large marble: Apollo, marbles: Orange Soda, Rose Dust, Auburn, Terra Cotta, Eerie Black, Silver Chalice, Almond
Large marble: Winner, marbles: Duke Blue, Beaver, Light Orchid, Thulian Pink, Auburn, Arylide Yellow, Liver Chestnut
Large marble: 5-Star, marbles: Sheen Green, Mimi Pink, Liver Chestnut, Middle Green Yellow, Emerald, Emerald, Eerie Black
Large marble: Apollo, marbles: Middle Red Purple, Tuscan Brown, Blue Bell, Russian Violet, Stop Red, Royal Orange, Rose Dust
Large marble: Winner, marbles: Isabelline, Terra Cotta, Beaver, Rose Quartz, Lumber, Emerald, Neon Pink
Large marble: The Boss, marbles: Dark Fuchsia, Thulian Pink, Green, Gold, Icterine, Light Orange, Shandy
Large marble: Sure Shot, marbles: Mulberry, Candy Pink, White Smoke, Orange Soda, Honeydew, Bistre Brown, Lavender Blue
Large marble: Sure Shot, marbles: Thulian Pink, Stop Red, Spanish Orange, Blue, Orange Peel, Icterine, Cobalt Blue
Large marble: Spinner, marbles: Blue Bell, Bistre Brown, Pastel Gray, Ivory, Tuscan Brown, Mulberry, Pale Plum
Large marble: Apollo, marbles: Purple Plum, Ivory, Neon Dark Green, Green, Sheen Green, Lemon Lime, Orange Peel
Large marble: Lucky, marbles: Pale Goldenrod, Royal Blue, Pastel Blue, Pale Cerulean, Antique Brass, Brown, Mode Beige
Large marble: Sure Shot, marbles: Dark Moss Green, Russian Violet, Icterine, Bistre Brown, Middle Green Yellow, Venetian Red, Indigo
Large marble: Sure Shot, marbles: Pale Goldenrod, Candy Pink, Brink Pink, Blue Bell, Auburn, Dark Moss Green, Blue Bell
Large marble: Sure Shot, marbles: Rose Dust, Mulberry, Brink Pink, Honeydew, Terra Cotta, Vegas Gold, Venetian Red
Large marble: Sure Shot, marbles: Royal Orange, Sage, Blue Bell, Beaver, Mint Green, Emerald, Chinese Red
Large marble: Apollo, marbles: Shandy, Indigo, Lilac Luster, Black Coral, Golden Yellow, Cobalt Blue, Cobalt Blue
Large marble: Sure Shot, marbles: Orange Soda, Lavender Blue, Spanish Carmine, Light Orchid, Dark Fuchsia, Green, Cotton Candy
Large marble: Sure Shot, marbles: Light Orange, Purple, Maximum Blue, Russian Green, Lavender Purple, Lavender Blue, Lavender Blue
Large marble: Hercules, marbles: Eerie Black, Tuscan Brown, Light Orchid, Dark Fuchsia, Brink Pink, Spanish Orange, Big Dip O’ruby
Large marble: Sure Shot, marbles: Lilac Luster, Blue, Mint Green, Spanish Orange, Lavender Purple, Mode Beige, Granny Smith Apple
Large marble: Lucky, marbles: Pale Taupe, Black Coral, Isabelline, Sage, Dark Moss Green, Tuscan Brown, Spanish Orange
Large marble: Zeus, marbles: Almond, Mango Tango, Beaver, Lavender Purple, Dark Moss Green, Bistre Brown, Purple Plum
Large marble: Lucky, marbles: Pastel Gray, Spanish Carmine, Bistre Brown, Antique Brass, Eerie Black, Golden Yellow, Dark Moss Green
Large marble: Hercules, marbles: White Smoke, Lavender Blue, Gold, Silver Pink, Maximum Violet, Mode Beige, Honeydew
Large marble: Hercules, marbles: Slate Blue, Rose Quartz, Cotton Candy, Thulian Pink, Gold, Honeydew, Neon Silver
Large marble: Apollo, marbles: Rose Quartz, Lavender Purple, Orange Peel, Purple, Tuscan Brown, Stop Red, Neon Pink
Large marble: The Boss, marbles: Russian Green, Orange Soda, Ivory, Spanish Orange, Stop Red, Tuscan Brown, Ruby
Large marble: Apollo, marbles: Orange Peel, Black Coral, Pale Taupe, Brown, Stop Red, Orange Soda, Antique Brass
Box count: 142
